model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Piston,285,200,191,54,65,1280,1265,1340,3300,1965,336,439,539,3130000
172 Q Cutlass,Piston,300,175,169,53,87,1060,2050,1585,3850,2220,338,466,600,1600000
100 Darter (S.L. Industries),Piston,300,174,170,57,90,950,2030,1500,3800,2219,338,441,600,1730000
172S Skyhawk SP,Piston,285,174,167,55,90,1000,1365,1355,3400,1960,339,441,760,1830000
100 Darter (S.L. Industries),Piston,285,172,165,54,65,1115,1265,1340,3300,1865,336,439,640,1990000
172 P II Skyhawk,Piston,285,173,166,53,65,1210,1110,1275,3100,1860,340,439,640,2100000
100 Darter (S.L. Industries),Piston,260,170,160,52,65,1270,1210,1110,3000,1780,327,438,680,2030000
172 M Skyhawk ('76=4 mph more speed),Piston,260,173,165,51,65,1300,1135,1190,2900,1740,327,437,700,2070000
100 Darter (S.L. Industries),Piston,310,170,161,59,61,885,1860,1500,3800,2254,386,430,583,2600000
R172K/Hawk XP (floats),Piston,300,150,143,59,61,810,1970,1500,3800,2177,386,430,612,1330000
100 Darter (S.L. Industries),Piston,310,155,135,52,92,835,2790,1750,3600,2404,356,430,640,2560000
172 M (float plane 1974-76),Piston,285,157,143,50,65,950,2400,1610,3600,2295,342,430,626,2420000
100 Darter (S.L. Industries),Piston,300,137,131,51,92,925,2820,1675,3500,2342,356,430,680,1390000
172 K & L float plane,Piston,300,136,130,53,61,855,2475,1570,3500,2312,356,430,580,1390000
100 Darter (S.L. Industries),Piston,300,136,131,49,65,855,2475,1570,3500,2200,342,430,510,1390000
"172,-D,-E,-F,-G,-H",Piston,300,136,131,56,65,855,2475,1570,3500,2060,342,442,510,1390000
100 Darter (S.L. Industries),Piston,285,145,132,61,65,920,1706,1525,3300,2165,344,430,626,2350000
100 Darter (S.L. Industries),Piston,300,121,119,52,65,800,1706,1525,3300,2065,344,430,510,1150000
"170,-A,-B",Piston,310,174,152,54,92,1010,1640,1395,3600,2066,339,430,640,2700000
100 Darter (S.L. Industries),Piston,285,174,148,53,65,1030,1810,1395,3600,1935,345,430,580,2630000
"150M, A150M (Aerobat span=32/9)",Piston,285,174,160,53,65,1030,1810,1395,3600,1795,332,439,627,2630000
100 Darter (S.L. Industries),Piston,300,156,147,54,92,920,1780,1395,3600,2002,339,430,680,1480000
A 150 L Aerobat (1974),Piston,300,151,143,53,65,920,1780,1395,3600,1725,344,439,510,1480000
100 Darter (S.L. Industries),Piston,285,151,142,53,65,920,1810,1340,3600,1795,333,439,555,1480000
"150 H,J,K (K=8/8 height)",Piston,285,154,144,52,65,1075,1265,1340,3300,1760,333,439,563,1670000
100 Darter (S.L. Industries),Piston,285,174,160,53,65,1030,1810,1395,3600,1915,339,439,609,2630000
"150 D,-E,-F,-G",Piston,310,178,150,54,92,1050,1740,1395,3600,2351,339,432,713,2700000
100 Darter (S.L. Industries),Piston,300,151,142,54,92,988,1860,1395,3600,2351,339,432,713,1570000
150,Piston,285,151,142,53,65,920,1810,1395,3600,1820,339,439,555,1480000
100 Darter (S.L. Industries),Piston,285,154,143,52,65,1075,1265,1340,3300,1790,338,438,565,1670000
140,Piston,260,145,138,50,65,965,1465,1510,3300,1750,327,438,515,1610000
100 Darter (S.L. Industries),Piston,275,152,143,54,80,1135,1605,1495,3350,2050,327,434,583,1625000
Vision Jet SF50,Piston,245,153,139,56,80,1050,1670,1495,3350,2030,327,434,603,1600000
Columbia 400 LC-41,Piston,300,157,148,55,80,1090,1670,1495,3350,2050,327,434,600,1600000
Columbia 350 LC-42,Piston,240,153,139,56,80,1090,1670,1495,3350,2015,327,434,610,1600000
100 Darter (S.L. Industries),Piston,310,113,106,58,54,510,2060,1265,4400,2322,318,500,283,1400000
115TC,Piston,300,106,101,57,54,465,2250,1265,4200,2230,311,500,290,780000
100 Darter (S.L. Industries),Piston,300,107,103,55,54,525,1965,1265,4000,2179,311,489,290,870000
114TC,Piston,300,105,98,50,54,690,1090,1265,4200,2220,315,500,290,1110000
100 Darter (S.L. Industries),Piston,300,105,98,50,37,690,1090,1265,4000,2189,315,489,278,1110000
"114,('76-24/10 length + less performance)",Piston,230,91,78,50,37,400,1920,1265,3800,1900,303,489,204,650000
100 Darter (S.L. Industries),Piston,230,94,83,50,37,460,1740,1265,3800,1835,303,489,204,770000
112B,Piston,300,131,123,50,37,940,970,1265,3300,1845,315,484,278,1570000
100 Darter (S.L. Industries),Piston,230,103,101,50,37,710,1365,1265,3300,1815,303,484,204,1300000
112,Piston,300,136,130,50,88,950,1710,1480,3100,2253,330,430,500,1610000
Top Cub,Piston,300,141,134,52,88,960,2125,1565,3320,1998,324,430,522,1640000
100 Darter (S.L. Industries),Piston,300,155,145,49,88,1075,1430,1400,3350,1750,308,430,645,1790000
Falcon 900 (3-eng fan jet),Piston,300,155,147,51,65,1040,1330,1400,3350,1565,306,434,470,1750000
100 Darter (S.L. Industries),Piston,300,153,145,54,65,950,1290,1285,3300,1560,306,434,470,1690000
Falcon 200,Piston,260,153,145,54,65,1000,1510,1265,3200,1520,305,432,561,1730000
100 Darter (S.L. Industries),Piston,235,187,173,50,92,1040,1570,1320,3100,1846,344,430,845,2000000
Falcon Fan Jet D 20,Piston,235,160,156,50,92,1140,1570,1320,3100,1809,344,430,845,1800000
100 Darter (S.L. Industries),Piston,235,168,157,49,92,965,1475,1350,3100,1781,341,430,743,2000000
Falcon F 20,Piston,235,176,159,49,92,1040,1385,1350,3100,2075,348,432,971,2000000
100 Darter (S.L. Industries),Piston,230,150,145,49,92,924,1514,1350,3100,1970,348,432,930,1810000
Falcon Fan Jet 10,Piston,230,143,140,46,88,924,1625,1280,3110,1882,336,192,813,1810000
100 Darter (S.L. Industries),Piston,230,146,142,49,92,865,1515,1350,3100,1775,336,430,817,1490000
DHC 6-300 Twin Otter Std. + '77-'78=less perf.,Piston,230,148,143,50,92,1010,1350,1350,2950,1754,336,430,817,1650000
100 Darter (S.L. Industries),Piston,230,146,139,50,65,890,1350,1350,2950,1640,337,430,550,1770000
DHC 6-200 Twin Otter,Piston,230,148,141,48,65,980,1205,1350,2800,1620,341,434,550,1890000
Twin Star Diamond DA42,Piston,230,148,141,48,65,980,1205,1350,2800,1610,328,434,550,1890000
100 Darter (S.L. Industries),Piston,230,148,141,54,55,1030,1080,1310,2650,1560,312,432,450,1980000
Katana DA20-C1,Piston,230,143,135,54,55,1120,1020,1290,2550,1540,312,432,443,2010000
100 Darter (S.L. Industries),Piston,230,137,123,48,88,970,1900,1720,2950,2204,330,430,804,1530000
100 Darter (S.L. Industries),Piston,230,137,123,48,61,990,2070,1720,2950,2110,330,430,804,1600000
TB-21 TC Trinidad,Piston,230,137,123,48,61,990,2070,1720,2950,1955,324,430,804,1600000
100 Darter (S.L. Industries),Piston,230,137,123,48,88,910,1706,1525,2800,1790,346,430,804,1470000
TB-200XL,Piston,230,148,141,48,88,1100,1205,1365,2800,1701,308,430,804,1770000
100 Darter (S.L. Industries),Piston,230,148,141,50,65,1090,1205,1365,2800,1525,306,434,622,1960000
TB-9 Tampico Club,Piston,230,148,139,54,55,1130,1080,1330,2650,1555,312,432,513,2150000
Eclipse 500,Piston,225,144,137,51,55,1110,1095,1310,2550,1540,312,432,513,2120000
100 Darter (S.L. Industries),Piston,200,157,149,50,61,925,1585,1350,2800,1765,327,426,500,1710000
Eurofox,Piston,200,153,144,50,51,860,1585,1350,2800,1630,327,426,506,1690000
Excalibur '800' conv. Beech Twin Bonanza,Piston,180,139,130,46,50,840,1400,1220,2500,1643,327,426,490,1460000
Excalibur conv. Beech Twin Bonanza,Piston,180,133,123,46,50,840,1400,1220,2500,1485,327,426,417,1460000
100 Darter (S.L. Industries),Piston,180,130,120,49,49,760,1575,1220,2500,1440,324,427,410,1580000
"Queen Air '8800' conv. Beech A80,B80",Piston,150,125,117,46,49,670,1575,1135,2350,1415,324,427,591,1270000
"Metro III,A",Piston,175,123,118,56,52,790,1450,1170,2450,1325,300,432,589,1450000
"Metro, II (prior '79 height=16/10)",Piston,175,128,121,54,52,850,1340,1155,2350,1312,300,432,593,1590000
100 Darter (S.L. Industries),Piston,180,144,140,50,66,800,1775,1340,2650,1627,329,430,720,1680000
Merlin IV C,Piston,180,123,122,48,54,680,1690,1335,2550,1480,323,433,475,1700000
100 Darter (S.L. Industries),Piston,195,132,130,47,52,870,1360,1345,2550,1572,326,430,570,1700000
Fairchild 300,Piston,180,126,124,48,56,730,1630,1335,2550,1663,326,433,638,1400000
100 Darter (S.L. Industries),Piston,160,123,122,47,53,720,1685,1295,2457,1600,323,433,580,1350000
"Merlin III C-23 (12,500 gross) (SN TT426 & up)",Piston,160,123,120,46,43,700,1625,1280,2400,1454,323,430,440,1300000
100 Darter (S.L. Industries),Piston,160,124,122,44,43,770,1390,1250,2300,1430,323,430,440,1420000
Merlin III A,Piston,150,122,115,44,42,645,1525,1250,2300,1335,323,430,435,1310000
100 Darter (S.L. Industries),Piston,150,122,115,43,42,645,1525,1250,2300,1315,323,429,417,1310000
Merlin II A,Piston,195,117,116,44,52,870,1850,1390,2550,1834,322,430,539,1550000
CTSW,Piston,160,96,95,44,43,740,2160,1345,2220,1632,320,430,440,1500000
800XP,Piston,150,98,97,44,42,715,2390,1345,2220,1574,324,430,435,1200000
100 Darter (S.L. Industries),Piston,150,94,92,45,42,580,2390,1345,2220,1450,324,429,435,1200000
G V,Piston,150,94,92,45,42,580,2390,1345,2220,1405,319,429,418,1200000
100 Darter (S.L. Industries),Piston,150,122,115,43,42,645,1525,1250,2300,1300,323,434,515,1310000
G IV,Piston,145,121,114,43,42,645,1525,1250,2300,1330,318,434,515,1310000
100 Darter (S.L. Industries),Piston,145,121,114,43,42,675,1450,1200,2250,1330,317,432,515,1420000
100 Darter (S.L. Industries),Piston,145,122,114,51,42,730,1370,1115,2200,1325,317,432,515,1510000
GII (G1159) with tip tanks,Piston,145,117,108,50,37,660,1650,1115,2200,1260,300,432,420,1330000
100 Darter (S.L. Industries),Piston,145,122,104,50,42,690,1820,1145,2200,1205,300,432,410,1550000
GI (G-159) ceiling quoted w/APU,Piston,110,110,107,43,26,715,1340,1200,1670,1141,289,398,315,1470000
"HS125-700,A (Hawk-Sidd mfg) ('77=24,200 gross)",Piston,100,109,106,42,26,670,1385,1075,1600,1104,287,398,303,1400000
100 Darter (S.L. Industries),Piston,100,106,102,42,26,670,1385,1075,1600,1060,285,398,303,1265000
BH-124-400A (Beech mfg),Piston,100,108,103,42,26,670,1385,1075,1600,1040,285,393,303,1400000
100 Darter (S.L. Industries),Piston,100,104,100,42,26,670,1385,1075,1600,1020,285,393,303,1265000
1124A Westwind 2,Piston,100,106,102,42,26,670,1385,1075,1600,1065,285,393,303,1265000
100 Darter (S.L. Industries),Piston,100,90,85,43,26,560,2075,850,1650,1120,289,393,276,1070000
1123 Commodore Jet,Piston,100,109,102,43,26,670,1375,1075,1600,970,285,392,303,1265000
100 Darter (S.L. Industries),Piston,100,108,105,43,26,740,1205,1055,1500,965,253,400,320,1530000
1121 Jet Commander,Piston,100,108,104,47,26,740,1205,1055,1500,962,252,400,318,1530000
J250-SP,Piston,90,103,90,46,21,640,1850,1530,1500,850,249,399,315,1560000
J230-SP,Piston,85,102,88,46,21,620,1950,1530,1500,850,249,399,315,1510000
LA-4 Amphibian,Piston,85,104,100,43,25,640,1850,1530,1450,818,249,392,390,1550000
C-1 Amphibian,Jet,1846,311,305,67,2000,1609,3192,1525,6000,3550,367,463,1275,3100000
LA-4-200 Buccaneer (land specs),Piston,310,235,181,57,106,1200,1250,2350,3600,2500,302,428,1300,2500000
XL2,Piston,310,235,179,57,106,1200,1250,2350,3400,23,302,428,1300,1800000
Jetstar -8,Piston,310,235,190,57,106,1200,1250,2350,3400,2250,302,438,1300,1800000
100 Darter (S.L. Industries),Piston,270,197,187,59,90,1050,2223,1312,3305,2152,299,394,870,2500000
8:00 AM,Piston,265,164,149,54,90,1070,1985,1200,3250,2102,299,394,1005,1680000
Superstar I (601P Aerostar),Piston,270,197,177,59,90,1050,2223,1312,3305,2151,299,393,870,2500000
MX-7-160,Piston,260,166,157,54,68,1030,2150,1200,3260,2070,301,393,665,1650000
MX-7-180A,Piston,260,166,157,55,68,1088,1990,1200,3140,1905,301,393,665,1740000
M-7-235,Piston,210,170,163,54,48,914,1750,1275,2950,2035,301,427,620,2000000
100 Darter (S.L. Industries),Piston,200,150,142,51,48,950,1829,1039,2800,1773,301,427,575,1505000
M-5-235C,Piston,200,149,140,54,48,1020,1585,1310,2650,1691,298,393,569,1390000
100 Darter (S.L. Industries),Piston,200,152,143,53,60,1000,1460,1310,2550,1530,299,393,750,1700000
100 Darter (S.L. Industries),Piston,180,132,110,42,54,800,1706,1525,2300,1200,282,422,555,1800000
M-5-180C,Piston,100,122,103,27,25,790,975,1040,1320,825,279,410,434,1800000
MU-300 Diamond II,Jet,4750,513,459,81,19165,4000,4950,3500,45500,22573,796,761,4400,4100000
100 Darter (S.L. Industries),Jet,4500,513,459,81,19165,3500,5300,3500,45500,22573,796,761,4200,3900000
MU-300 Diamond I,Jet,3700,518,430,77,15520,3430,4700,2800,38800,21100,729,742,3500,4100000
100 Darter (S.L. Industries),Jet,5200,521,435,89,10684,3065,5260,2860,32000,18800,675,642,2500,3900000
"MU-2L,-2N (-2N empty weight=7,760)",Jet,4125,530,457,90,8420,3500,3800,2940,26455,16600,675,642,1200,4200000
100 Darter (S.L. Industries),Jet,4250,512,457,90,8980,3500,6400,4850,27337,15400,675,642,1630,4200000
MU-2J,Jet,4315,530,458,84.5,9250,3300,5000,3300,28660,15970,675,642,1610,4200000
100 Darter (S.L. Industries),Jet,4500,530,410,88,9098,3330,4950,2450,28660,17500,675,642,1614,3700000
MU-2F,Jet,3230,513,459,84,5912,4600,4615,2750,19300,11200,546,515,1828,3900000
100 Darter (S.L. Industries),Jet,3230,513,459,88,5912,4600,4615,2750,18740,10800,546,515,1828,4500000
Acclaim (M20TN),Jet,3230,459,426,92,5910,4200,4300,3300,18300,10800,544,515,1800,4500000
TLS (M20M),Propjet,620,182,170,58,2583,1600,1500,1940,12500,6881,621,780,300,2670000
100 Darter (S.L. Industries),Propjet,620,182,171,64,2457,1600,1940,1940,12500,7487,621,780,300,2670000
PFM (M20L),Propjet,579,165,150,57,2457,1300,1900,1995,11579,7250,621,780,713,2430000
Encore (MS20K),Piston,135,194,172,56,52,1280,1730,1877,3935,2765,337,534,1129,1800000
100 Darter (S.L. Industries),Piston,81,161,117,37,20,680,1560,1490,1609,1095,282,427,526,
205 (M20J),Piston,125,163,132,34,25,1105,1263,1235,1654,1166,282,428,422,
M-20C Ranger ('77-'78),Propjet,850,320,255,56,1887,1380,2840,2430,7394,4698,419,499,1520,3100000
M-20-E Super 21 Chaparral,Propjet,700,300,291,61,1887,2380,1591,2034,6579,4050,419,499,1563,3000000
100 Darter (S.L. Industries),Piston,250,200,187,54,86,1125,1953,1750,3083,1795,304,390,713,2500000
M-20-B Mark 21,Piston,250,167,160,54,86,1260,1953,1750,3083,1744,304,390,1100,2000000
100 Darter (S.L. Industries),Piston,200,177,115,56,55,937,1561,1474,2535,1642,305,394,637,1600000
M-20-Mark 20,Piston,180,132,117,51,54,790,1657,1394,2535,1477,300,384,713,1300000
100 Darter (S.L. Industries),Piston,160,177,106,50,41,738,1706,1378,2337,1411,303,384,713,1100000
H-Rangemaster (1975-'76),Jet,900,64,426,69,1686,3314,2297,2155,5920,3550,402,455,1300,4100000
100 Darter (S.L. Industries),Propjet,750,221,181,71,440,1650,4000,4400,13007,8007,594,603,713,2150000
100 Darter (S.L. Industries),Piston,100,164,120,46,23,1000,1706,1525,1235,644,223,359,600,1400000
100 Darter (S.L. Industries),Piston,400,226,213,71,230,1870,1525,1940,7600,5100,377,552,713,2220000
PA-31-350 Chieftain ('81=optional fuel),Piston,380,239,226,71,230,1900,1225,1840,7300,4500,377,552,713,3000000
100 Darter (S.L. Industries),Piston,400,213,201,68,230,1535,1706,2176,8000,5400,337,438,713,2220000
"PA-31-310 Turbo Navajo B,C (prior '80 less fuel)",Piston,400,213,201,70,264,1490,2050,2450,8800,5800,337,438,713,2000000
PA-31-300 Navajo,Propjet,1000,280,248,88,648,2635,3495,1525,14500,8737,712,684,1827,2990000
100 Darter (S.L. Industries),Propjet,940,177,256,86,648,2400,2050,1970,12500,8000,712,555,1250,2700000
PA-23 E Turbo Aztec (1971 length=30/2),Propjet,1000,278,248,88,648,2635,3340,2970,14500,9200,712,684,2040,2990000
100 Darter (S.L. Industries),Propjet,1000,283,261,87,648,2440,2850,2532,14000,9100,712,684,2040,3000000
"PA-23 D,E Aztec (prior '72 length=30/2)",Propjet,840,270,169,86,544,2400,2050,1970,12500,8200,712,555,1815,2700000
100 Darter (S.L. Industries),Propjet,900,303,264,92,648,2650,3080,2805,13230,8200,506,575,2178,2940000
PA-23 C Aztec,Propjet,900,300,265,92,648,2650,2920,3530,13230,8150,506,555,2025,2700000
100 Darter (S.L. Industries),Propjet,900,303,264,89,648,2800,2400,3360,12500,8090,506,555,2025,2940000
"PA34-180, Seneca V",Propjet,900,309,295,89,648,2780,2970,3240,12500,7800,506,555,2025,3140000
100 Darter (S.L. Industries),Propjet,840,283,169,83,648,2530,2150,1570,12500,7600,506,555,2670,2890000
PA-34-220T Seneca III (roc=t/o power),Propjet,665,177,257,76,386,2780,2970,3240,10000,6150,481,550,1318,2990000
100 Darter (S.L. Industries),Propjet,550,177,235,75,386,1950,2300,2380,9800,6075,481,550,1250,3100000
100 Darter (S.L. Industries),Piston,100,120,112,39,34,960,1706,1525,1320,649,244,438,1080,1400000
100 Darter (S.L. Industries),Piston,100,145,119,35,29,850,1050,1100,1320,760,244,378,730,1320000
PA-39 C/R Turbo Twin Comanche,Piston,100,133,116,36,18,850,1450,1410,1320,820,246,246,400,1320000
PA-30 B Turbo Twin Comanche,Jet,14750,516,459,56,41000,1200,5870,2950,89400,46800,1157,1122,6500,5100000
100 Darter (S.L. Industries),Jet,13850,505,459,115,29500,4122,5450,3190,75000,42500,1060,934,4220,4500000
PA-23-150 Apache,Jet,13850,510,459,108,29500,4219,5265,3393,73200,42500,1060,934,4420,4500000
100 Darter (S.L. Industries),Jet,11400,503,459,104,28300,4049,5115,3250,69700,38000,997,934,3767,4500000
100 Darter (S.L. Industries),Jet,11400,503,459,103,28300,4049,5115,3250,69700,38150,959,934,3680,4500000
PA-24-C 260 Comanche,Jet,11400,503,459,103,26800,4240,5750,3168,65500,37186,959,870,2795,4500000
100 Darter (S.L. Industries),Jet,11400,503,459,108,23300,4345,5625,3198,64800,36544,959,827,2592,4500000
PA-32R-301T Saratoga II TC,Propjet,1950,340,299,87,10463,1900,1706,1525,36000,23008,765,940,2164,3000000
100 Darter (S.L. Industries),Jet,3700,443,400,87,9450,3000,5800,3600,24800,14150,609,564,713,4100000
PA-32-300 '73-74 hgt=7/9 ('79 fuel=94 gal),Jet,3750,456,435,83,9450,4500,4850,2125,25000,12865,606,564,713,4100000
100 Darter (S.L. Industries),Jet,3360,443,385,77,9100,3100,5000,1990,23300,11920,569,564,713,4100000
PA-32-260 ('74-'78) 1974 height=7/9,Jet,3360,443,385,79,9100,4150,3800,2450,22700,12000,569,564,713,4100000
100 Darter (S.L. Industries),Jet,3700,476,415,89,9580,3500,5250,2350,23500,12800,627,537,2904,4500000
"PA-28R-,RT-,201T Turbo Arrow III, IV",Jet,3700,471,426,90,8710,3200,4950,2450,22850,12500,627,537,2440,4500000
100 Darter (S.L. Industries),Jet,3100,471,426,87,8620,4040,5750,2900,20700,11500,627,536,1450,4500000
PA-28-200R Arrow II (1973-'76),Jet,2950,471,426,84,7350,5000,5450,3900,18500,10500,605,519,1100,4500000
100 Darter (S.L. Industries),Jet,2850,471,426,82,6250,4400,5400,3900,17500,10500,605,519,950,4000000
100 Darter (S.L. Industries),Piston,120,125,120,39,36,700,1706,1525,1320,780,257,360,840,1500000
PA-28 180 Challenger & Archer,Piston,120,130,120,39,35,700,1706,1525,1320,800,257,389,800,1500000
100 Darter (S.L. Industries),Piston,180,122,114,39,40,800,1275,900,2400,1555,299,456,296,1300000
PA-28 C 150 Cherokee,Piston,180,123,117,45,30,800,1375,900,2350,1520,282,408,305,1350000
100 Darter (S.L. Industries),Piston,150,109,97,50,30,700,1550,900,2150,1450,282,408,320,950000
"PA-28 150,B 150 Cherokee",Piston,180,125,122,39,40,1000,1250,1525,2400,1345,299,456,296,1350000
100 Darter (S.L. Industries),Piston,180,149,143,39,40,800,1275,900,2400,1575,299,456,543,2000000
PA-28-151 Warrior (prior '77 stall=58),Piston,200,177,130,39,40,1200,875,900,2600,1535,299,456,455,1470000
100 Darter (S.L. Industries),Piston,200,135,130,39,40,1200,1050,950,2690,1555,299,456,455,1470000
PA-36-375 Brave (spray restr. category),Piston,125,162,125,49,30,682,1496,1519,1750,1160,244,345,505,
"PA-25 235 C,D Pawnee (normal category)",Jet,3300,496,435,106,2660,4050,1706,3440,41900,20999,725,653,713,4300000
100 Darter (S.L. Industries),Piston,90,96,83,37,25,660,1850,1540,1400,870,240,420,273,1600000
PA-22 135 Tri-Pacer,Piston,85,91,83,37,30,640,1850,1540,1400,791,236,415,346,1550000
100 Darter (S.L. Industries),Piston,65,91,78,37,14,550,1950,1540,1260,750,236,415,182,1400000
PA-18 150 Super Cub,Piston,325,260,250,77,165,1955,1980,2076,3625,200,337,438,1137,
PA-18 95 Super Cub,Piston,160,177,135,40,40,825,1180,500,2200,1330,281,393,540,1300000
100 Darter (S.L. Industries),Piston,180,177,140,40,40,920,1150,500,2400,1350,281,438,500,1500000
100 Darter (S.L. Industries),Piston,235,177,148,30,40,1350,600,600,2500,1500,273,398,478,2000000
PA-11,Piston,235,157,129,38,40,1900,540,540,2500,1425,282,398,360,2000000
100 Darter (S.L. Industries),Piston,235,177,150,33,40,1350,600,600,2300,1400,282,370,360,2000000
Kodiak 100,Piston,220,157,150,33,42,1250,585,600,2300,1300,278,370,485,1900000
G3,Piston,210,177,170,33,40,1250,600,600,2300,1400,273,370,430,2000000
Super 340 (Cessna 340 conversion),Piston,210,157,137,33,40,1250,600,600,2300,1350,273,370,345,1800000
100 Darter (S.L. Industries),Piston,180,177,136,33,40,900,800,600,2300,1300,273,370,525,1500000
TurboStream (Cessna 310 & 320 conv) 310hp,Piston,220,157,152,35,42,1250,600,650,2300,1280,264,356,530,1900000
100 Darter (S.L. Industries),Piston,210,157,143,35,42,1250,585,600,2100,1250,264,356,500,1800000
Rocket (Cessna 310 conversion),Piston,180,148,135,35,42,1000,700,600,2300,1250,270,356,525,1700000
305 Rocket,Piston,145,157,130,35,42,700,900,600,2100,1100,264,356,750,1200000
100 Darter (S.L. Industries),Piston,967,151,109,54,106,1400,1706,1600,9300,5500,374,696,713,2500000
100 Darter (S.L. Industries),Jet,2900,456,438,56,4260,3180,3950,2930,15780,9925,581,522,1530,4100000
"200 D Meyers (Prop Jets, Inc.)",Jet,2500,430,400,77,4260,3050,3850,2800,14630,9410,581,522,1513,4100000
100 Darter (S.L. Industries),Jet,2500,434,410,77,646,3000,4100,2700,13890,8300,580,521,1510,4100000
"200 Meyers (Prop Jets, Inc.)",Propjet,778,309,296,77,403,2200,2170,1880,11575,7650,473,470,1391,2975000
100 Darter (S.L. Industries),Propjet,727,322,313,73,403,2350,1800,1600,10470,7010,399,470,1600,3350000
100 Darter (S.L. Industries),Propjet,724,317,304,73,364,2840,1800,1600,10470,6864,399,470,1250,3220000
100 Darter (S.L. Industries),Propjet,776,296,283,77,364,2630,2170,1880,11575,7570,473,470,1200,2960000
100 Darter (S.L. Industries),Propjet,724,317,270,71,366,3100,1700,1490,9920,5920,399,470,1175,3320000
Sabre 75A,Propjet,724,300,265,73,366,2690,1870,1670,10800,6800,473,470,1150,3080000
100 Darter (S.L. Industries),Propjet,705,283,261,73,366,2590,1890,1670,10800,6700,473,470,1100,2700000
Sabre 65,Propjet,705,296,270,71,366,2875,1700,1320,9920,5790,399,470,1150,3040000
100 Darter (S.L. Industries),Propjet,605,261,169,64,285,2000,1600,1100,8930,5730,399,470,880,2600000
100 Darter (S.L. Industries),Piston,280,242,237,59,100,1380,1706,1525,3374,2370,321,437,1852,2500000
Sting Sport S3,Jet,280,242,175,56,89,1375,2100,2650,3368,2380,320,438,1275,2500000
108-3,Piston,270,236,223,58,96,1230,2050,2600,3368,2353,323,433,713,2500000
108-1,Piston,280,197,191,60,95,1200,1700,1600,3368,2200,321,433,900,2100000
GC-1B,Piston,217,161,169,57,61,1030,2550,1910,2900,2003,323,433,713,1930000
SA-160,Piston,310,217,200,60,92,1120,2079,1549,3680,2380,313,420,813,2400000
F-21B,Piston,310,197,170,59,100,1300,2600,2500,3380,2250,320,438,1450,2000000
100 Darter (S.L. Industries),Piston,220,213,197,60,80,1300,2000,2320,3100,2000,305,433,1100,2500000
P2006T,Piston,210,219,201,59,75,1080,2200,2300,2900,1800,305,433,980,2800000
A-36 Bonanza Prop Jet,Piston,200,178,171,54,64,1060,1700,1600,2740,1710,296,433,690,1860000
1000 Jet Prop,Piston,210,201,191,57,75,1080,2060,2280,2900,1800,305,433,980,2400000
100 Darter (S.L. Industries),Piston,200,175,170,53,64,1030,1550,1550,2740,1671,296,433,690,1880000
900 Jet Prop,Piston,200,161,156,54,64,1055,1385,1786,2740,1640,288,420,734,1880000
100 Darter (S.L. Industries),Piston,200,165,160,50,52,1125,1550,1550,2575,1600,278,420,601,2120000
"690A, Prop Jet (690 length=43/0 & height=14/11)",Piston,180,155,147,50,52,875,1250,1670,2525,1585,291,420,627,1700000
100 Darter (S.L. Industries),Piston,180,147,143,50,52,800,1395,1610,2575,1525,278,420,659,1650000
720 Alti-Cruiser,Piston,180,153,150,50,52,860,1395,1550,2575,1525,278,420,659,1950000
100 Darter (S.L. Industries),Piston,200,171,163,50,52,1110,1300,1365,2575,1575,278,420,601,1880000
685 pressurized,Piston,180,165,158,50,52,800,1250,1550,2575,1525,278,420,659,1720000
100 Darter (S.L. Industries),Piston,180,165,158,50,52,1150,1050,1100,2450,1525,278,420,745,1850000
680 W Turbo II Prop Jet,Piston,180,165,157,50,35,1150,1050,1100,2450,1440,277,420,513,2000000
100 Darter (S.L. Industries),Piston,150,149,143,50,35,900,1150,1100,2450,1415,277,420,655,1720000
680 FLP Pressurized Grand,Piston,180,128,117,50,52,740,1125,1100,2500,1455,278,420,715,1360000
100 Darter (S.L. Industries),Piston,90,103,96,40,24,835,953,1016,1450,950,248,360,484,1250000
680 FL Grand,Piston,90,112,108,39,24,640,1250,1350,1450,950,240,360,456,1730000
100 Darter (S.L. Industries),Piston,65,123,109,37,12,1000,1000,1000,850,575,211,313,713,1940000
100 Darter (S.L. Industries),Piston,285,177,166,48,40,1375,980,980,3315,2000,329,417,335,2150000
560 F,Piston,260,160,156,51,108,1150,980,980,3315,1925,329,413,1043,2050000
100 Darter (S.L. Industries),Piston,260,165,147,57,40,1110,1100,1100,2850,1950,327,399,340,1660000
560 A-HC,Piston,205,142,135,57,40,1050,900,1100,2750,1782,327,399,430,1560000
560,Propjet,850,400,169,90,2630,3000,2630,2650,10810,7200,567,552,1746,4100000
500 U,Propjet,1200,270,265,64,402,1680,2300,1830,9920,5732,567,639,2261,3000000
500 A,Propjet,1000,351,334,56,3819,3242,1930,2280,12050,7856,521,572,1879,4100000
100 Darter (S.L. Industries),Propjet,720,312,288,89,578,2380,2280,3043,11200,6837,521,572,1722,3584000
520,Propjet,720,290,275,87,390,2236,3230,3017,11200,6389,521,572,1515,3200000
2180,Propjet,620,275,270,77,382,1750,2940,2446,9474,5164,440,512,1336,3240000
